,Datetime,Position,price,mult
112,2012-01-04 11:30:00,-4,4210.135,10
113,2012-01-11 09:00:00,4,4224.4659999999985,10
114,2012-01-16 14:00:00,4,4235.749,10
115,2012-02-07 13:50:00,-4,4292.675,10
116,2012-02-07 14:00:00,-5,4293.653,10
117,2012-02-08 13:50:00,5,4315.655,10
118,2012-02-08 14:00:00,5,4321.374,10
119,2012-02-09 14:40:00,-5,4297.2440000000015,10
120,2012-02-09 14:50:00,-4,4296.956,10
121,2012-02-21 15:00:00,4,4228.772,10
122,2012-02-22 09:00:00,5,4231.767,10
123,2012-03-05 10:30:00,-5,4263.963,10
124,2012-03-05 10:50:00,-5,4257.4489,10
125,2012-03-09 15:00:00,5,4314.938,10
126,2012-03-16 13:50:00,-5,4318.789000000002,10
127,2012-03-21 10:30:00,5,4337.849,10
128,2012-03-21 10:40:00,5,4338.2299,10
129,2012-03-28 14:30:00,-5,4343.3729,10
130,2012-03-28 14:50:00,-6,4341.2209,10
131,2012-04-05 11:30:00,6,4337.3819,10
132,2012-04-05 13:30:00,6,4336.544,10
133,2012-04-13 10:50:00,-6,4380.981,10
134,2012-04-13 11:00:00,-6,4373.2659,10
135,2012-05-28 11:10:00,6,4077.971,10
136,2012-05-28 11:20:00,5,4083.985,10
137,2012-06-04 10:10:00,-5,4031.666,10
138,2012-06-04 10:40:00,-5,4032.883,10
139,2012-06-14 11:10:00,5,4108.59,10
140,2012-06-14 11:20:00,5,4111.568,10
141,2012-06-26 10:30:00,-5,4085.348,10
142,2012-06-26 10:40:00,-6,4078.51,10
143,2012-07-03 10:10:00,6,4068.792,10
144,2012-07-03 10:30:00,6,4071.526,10
145,2012-07-09 14:40:00,-6,4030.927,10
146,2012-07-09 14:50:00,-6,4031.103,10
147,2012-08-09 15:00:00,6,3694.838,10
148,2012-08-10 09:00:00,5,3690.107,10
149,2012-08-13 14:40:00,-5,3696.972,10
150,2012-08-13 14:50:00,-5,3693.352,10
151,2012-09-07 11:00:00,5,3362.131,10
152,2012-09-07 11:20:00,4,3373.188,10
153,2012-09-20 10:30:00,-4,3537.968,10
154,2012-09-20 11:00:00,-3,3543.441,10
155,2012-10-22 13:50:00,3,3689.073,10
156,2012-10-22 14:00:00,3,3686.563,10
157,2012-10-29 10:40:00,-3,3644.809,10
158,2012-10-29 10:50:00,-3,3636.923,10
159,2012-11-01 11:10:00,3,3666.792,10
160,2012-11-01 11:20:00,3,3673.115,10
161,2012-11-19 09:10:00,-3,3620.014,10
162,2012-11-19 09:20:00,-4,3589.203,10
163,2012-12-03 09:30:00,4,3545.528,10
164,2012-12-03 09:40:00,5,3564.278,10
165,2013-01-11 10:40:00,-5,3992.596,10
166,2013-01-11 10:50:00,-4,3996.541,10
167,2013-01-14 11:20:00,4,3988.056,10
168,2013-01-14 11:30:00,4,4001.141,10
169,2013-02-18 10:10:00,-4,4157.5559,10
170,2013-02-18 10:30:00,-4,4154.1409,10
171,2013-03-15 11:20:00,4,3856.327,10
172,2013-03-15 11:30:00,3,3895.572,10
173,2013-03-28 09:30:00,-3,3860.232,10
174,2013-03-28 09:40:00,-3,3860.102,10
175,2013-04-16 13:40:00,3,3739.001,10
176,2013-04-16 13:50:00,3,3742.089,10
177,2013-04-17 13:40:00,-3,3683.828,10
178,2013-04-17 13:50:00,-3,3682.884,10
179,2013-05-13 14:00:00,3,3665.798,10
180,2013-05-13 14:10:00,3,3678.66,10
181,2013-05-14 11:30:00,-3,3621.149,10
182,2013-05-14 13:30:00,-3,3623.071,10
183,2013-05-17 14:10:00,3,3612.646,10
184,2013-05-17 14:20:00,3,3622.431,10
185,2013-05-27 09:10:00,-3,3513.061,10
186,2013-05-27 09:40:00,-3,3519.831,10
187,2013-06-04 09:00:00,3,3494.9770000000008,10
188,2013-06-06 10:30:00,-4,3438.671,10
189,2013-06-13 09:10:00,4,3438.111,10
190,2013-06-13 09:20:00,4,3440.837,10
191,2013-06-24 10:10:00,-4,3484.273,10
192,2013-06-24 10:30:00,-4,3482.628,10
193,2013-06-27 10:30:00,4,3499.432,10
194,2013-07-03 14:10:00,4,3586.59,10
195,2013-07-22 09:10:00,-4,3652.755,10
